90;APARTAMENTO COM 3 QUARTOS,SALA,COZINHA,BWC,DEP.EM-;PREGADA COMPLETA.                                 ;AV.MAL.DEODORO DA FONSECA,855/701  ;                                                  ;CENTRO              ;JARAGUA DO SUL           ;89251000;SC;1;2;597;0;0;20;50000;0;0;1000;6183;4824; ;                                                  ;                                                  ;U;8175;6184
92;SALA COMEFCIAL COM 110,00M2-TERREA.               ;                                                  ;R.JOSE EMMENDOERFER, 506           ;                                                  ;NOVA BRASILIA       ;JARAGUA DO SUL           ;89251000;SC;10;4;599;1;0;0;50000;0;0;1500;0;0; ;                                                  ;                                                  ;U;8175;
93;SALA COMERCIAL,COM APROXIMADAMENTE 40,00M2.       ;                                                  ;R.CABO HARRY HADLICH,783           ;                                                  ;CENTRO              ;JARAGUA DO SUL           ;89251000;SC;1;4;145;1;0;13;20000;0;0;1000;0;0; ;                                                  ;                                                  ;U;8175;
96;CASA ALVENARIA COM 2 QUARTOS,COPA/COZINHA,DISPENSA;BWC,LAVANDERIA.                                   ;R.ERWINO MENEGOTTI, 344            ;                                                  ;VILA RAU            ;JARAGUA DO SUL           ;89254000;SC;4;1;141;0;0;19;15000;0;0;1200;0;0; ;                                                  ;                                                  ;U;8175;
97;CASA ALVENARIA,3 SUITES,3 SALAS,COPA/COZINHA,DEP. ;EMP,2 LAVABO,CHURRASQUEIRA,GARAGEM.               ;R.JOAO BAPTISTA RUDOLF, 517        ;                                                  ;AMIZADE             ;JARAGUA DO SUL           ;89255600;SC;19;1;647;0;0;0;30000;0;0;1200;0;0; ;                                                  ;                                                  ;U;8175;
99;TERRENO NA RUA PRES.EPITACIO PESSOA  Nº 68        ;                                                  ;R.PRES.EPITACIO PESSOA,Nº 68       ;                                                  ;CENTRO              ;JS                       ;89251000;SC;1;5;149;1;1;0;50000;0;0;1200;0;0; ;                                                  ;                                                  ;U;8175;
100;CASA DE ALVENARIA COM 3 QUARTOS,SALA,COPA/COZINHA,;BWC,LAVANDERIA,GARAGEM.                           ;R.ROSA BALSANELLI,52               ;                                                  ;AMIZADE             ;JARAGUA DO SUL           ;89251000;SC;19;1;129;0;0;20;80000;0;0;1200;4825;4953; ;                                                  ;                                                  ;U;8175;0
101;casa alvenaria c/1 suite,2 qtos,sala,sala tv,copa/;cozinha,lav.dep.emp.bwc,garagem,toda murada.      ;R.SANTILHA PULIS RENGEL,60         ;                                                  ;ILHA DA FIGUEIRA    ;JARAGUA DO SUL           ;89251000;SC;11;1;468;0;0;21;64500;0;0;1500;811;681; ;                                                  ;                                                  ;U;8175;
102;SALAERREA COM 130,00M2.                           ;                                                  ;AV.MAL DEODORO DA FONSECA,1.034    ;                                                  ;CENTRO              ;JARAGUA DO SUL           ;89251000;SC;1;4;3940;1;0;15;111800;0;0;1200;1727;4466; ;                                                  ;                                                  ;U;8175;0
103;CASA MISTA COM 2 QTOS,SALA,COZINHA,BWC,LAVANDERIA ;                                                  ;R.ANTON FRERICHS,59                ;                                                  ;VILA RAU            ;JS                       ;89251000;SC;4;1;965;1;0;7;18000;0;0;1500;854;347; ;                                                  ;                                                  ;U;8175;
104;APARTAMENTO COM 1 QUARTO,SALA,COZINHA,WC,LAVANDERI;A,GARAGEM.                                        ;R.HENRIQUE LESMMANN, 421 APTO 103  ;                                                  ;CENTENARIO          ;JARAGUA DO SUL           ;89251000;SC;8;2;528;0;0;0;23000;0;0;1200;0;0; ;                                                  ;                                                  ;U;8175;
105;APTO 104 -  COM 2 QUARTOS,SALA,COZINHA, BANHEIRO, ;LAVANDERIA E GARAGEM.                             ;R.HENRIQUE AUGUST LESSMANN, 421    ;APTO 104                                          ;CENTENARIO          ;JARAGUA DO SUL           ;89251000;SC;8;2;528;0;0;16;53000;0;0;1200;0;0; ;                                                  ;                                                  ;U;8175;
106;SALA COM 40,00M2.                                 ;                                                  ;R.ERWINO MENEGOTTI(AO LADO DOCE SON;                                                  ;VILA LENZI          ;JARAGUA DO SUL           ;89251000;SC;2;4;863;0;0;0;30000;0;0;1200;0;0; ;                                                  ;                                                  ;U;8175;
107;TERRENO COM 2.500,00m2                            ;                                                  ;R.OLIVIO DOMINGOS BRUGNAGO         ;                                                  ;VILA NOVA           ;JS                       ;89251000;SC;6;5;137;0;0;0;100000;0;0;1200;0;0; ;                                                  ;                                                  ;U;8175;
